ds	provider	cpc
2015-10-01	TravelGuys	169
2015-10-07	LalaLand	393
2015-10-03	LalaLand	374
2015-10-01	BobTheBuilder	414
2015-10-03	TravelGuys	313
2015-10-09	OlidayInn	chicken
2015-10-09	BobTheBuilder	111
2015-10-02	BobTheBuilder	252
2015-10-06	LalaLand	314
2015-10-04	LalaLand	495
2015-10-03	TravelGuys	232
2015-10-11	OlidayInn	304
2015-10-08	TravelGuys	276
2015-10-10	OlidayInn	334
2015-10-05	LalaLand	299
2015-10-05	BobTheBuilder	474
2015-10-03	LalaLand	345
2015-10-05	BobTheBuilder	135
2015-10-09	LalaLand	279
2015-10-02	TravelGuys	455
2015-10-01	OlidayInn	353
2015-10-08	LalaLand	109
2015-10-07	LalaLand	401
2015-10-01	LalaLand	292
2015-10-10	TravelGuys	399
2015-10-05	LalaLand	351
2015-10-06	BobTheBuilder	486
2015-10-07	LalaLand	135
2015-10-10	TravelGuys	109
2015-10-12	BobTheBuilder	156
2015-10-12	LalaLand	205
2015-10-08	LalaLand	109
2015-10-12	LalaLand	130
2015-10-04	TravelGuys	272
2015-10-07	LalaLand	181
2015-10-04	TravelGuys	126
2015-10-02	OlidayInn	486
2015-10-05	OlidayInn	481
2015-10-03	OlidayInn	302
2015-10-03	LalaLand	141
2015-10-09	OlidayInn	451
2015-10-08	LalaLand	146
2015-10-09	OlidayInn	489
2015-10-09	BobTheBuilder	237
2015-10-11	LalaLand	199
2015-10-01	TravelGuys	269
2015-10-10	OlidayInn	375
2015-10-02	LalaLand	312
2015-10-06	OlidayInn	421
2015-10-05	BobTheBuilder	483
2015-10-07	LalaLand	165
2015-10-04	LalaLand	151
2015-10-07	OlidayInn	316
2015-10-07	TravelGuys	132
2015-10-03	LalaLand	132
2015-10-02	BobTheBuilder	427
2015-10-04	TravelGuys	248
2015-10-10	BobTheBuilder	103
2015-10-04	OlidayInn	364
2015-10-04	LalaLand	156
2015-10-01	LalaLand	297
2015-10-06	LalaLand	414
2015-10-08	BobTheBuilder	495
2015-10-02	TravelGuys	444
2015-10-03	TravelGuys	158
2015-10-07	TravelGuys	141
2015-10-11	BobTheBuilder	365
2015-10-01	TravelGuys	481
2015-10-09	TravelGuys	141
2015-10-03	OlidayInn	196
2015-10-02	TravelGuys	254
2015-10-04	BobTheBuilder	179
2015-10-02	TravelGuys	433
2015-10-11	OlidayInn	392
2015-10-01	LalaLand	250
2015-10-08	LalaLand	128
2015-10-10	TravelGuys	148
2015-10-01	LalaLand	351
2015-10-03	OlidayInn	223
2015-10-12	OlidayInn	465
2015-10-11	OlidayInn	272
2015-10-02	LalaLand	252
2015-10-07	OlidayInn	207
2015-10-01	OlidayInn	419
2015-10-08	TravelGuys	265
2015-10-02	LalaLand	137
2015-10-10	LalaLand	326
2015-10-08	LalaLand	337
2015-10-02	TravelGuys	284
2015-10-03	OlidayInn	130
2015-10-12	TravelGuys	460
2015-10-10	LalaLand	363
2015-10-04	LalaLand	341
2015-10-11	BobTheBuilder	349
2015-10-08	LalaLand	227
2015-10-10	OlidayInn	121
2015-10-06	TravelGuys	417
2015-10-10	BobTheBuilder	408
2015-10-01	BobTheBuilder	137
2015-10-06	BobTheBuilder	348
2015-10-07	OlidayInn	136
2015-10-11	OlidayInn	122
2015-10-08	BobTheBuilder	439
2015-10-09	OlidayInn	139
2015-10-09	TravelGuys	400
2015-10-10	LalaLand	468
2015-10-08	TravelGuys	233
2015-10-01	BobTheBuilder	430
2015-10-07	BobTheBuilder	120
2015-10-04	OlidayInn	434
2015-10-10	TravelGuys	364
2015-10-09	OlidayInn	252
2015-10-12	LalaLand	230
2015-10-08	TravelGuys	183
2015-10-07	OlidayInn	153
2015-10-07	LalaLand	461
2015-10-10	OlidayInn	156
2015-10-02	OlidayInn	410
2015-10-01	OlidayInn	145
2015-10-08	OlidayInn	250
2015-10-07	LalaLand	336
2015-10-02	OlidayInn	197
2015-10-11	TravelGuys	169
2015-10-09	TravelGuys	347
2015-10-05	BobTheBuilder	101
2015-10-12	BobTheBuilder	354
2015-10-08	OlidayInn	266
2015-10-04	TravelGuys	149
2015-10-05	TravelGuys	270
2015-10-12	LalaLand	328
2015-10-10	TravelGuys	485
2015-10-07	OlidayInn	282
2015-10-02	TravelGuys	153
2015-10-04	LalaLand	182
2015-10-09	TravelGuys	105
2015-10-10	LalaLand	102
2015-10-10	OlidayInn	354
2015-10-10	TravelGuys	209
2015-10-05	LalaLand	169
2015-10-03	TravelGuys	378
2015-10-10	LalaLand	101
2015-10-05	BobTheBuilder	164
2015-10-10	BobTheBuilder	157
